Simulation Run,Day,Agent Type,Satisfaction,Rejected Received Exchanges,Accepted Received Exchanges,Rejected Requested Exchanges,Accepted Requested Exchanges,Social Capital Exchanges,No Social Capital Exchanges,Unspent Social Capital
1,1,2,1.0,3,1,5,2,0,1,1
1,1,2,0.75,18,1,24,2,0,1,0
1,1,1,0.5,26,2,19,0,0,2,1
1,1,1,1.0,11,3,14,1,0,3,2
1,1,1,0.75,11,0,26,1,0,0,0
1,1,1,0.75,18,2,9,1,0,2,0
1,1,2,0.5,29,2,15,1,1,1,0
1,1,2,0.25,17,0,24,1,0,0,0
1,1,2,0.75,9,1,17,1,0,1,0
1,1,2,0.5,18,0,14,1,0,0,0
1,1,2,1.0,4,0,3,2,0,0,0
1,1,1,0.5,10,1,20,1,0,1,1
1,1,1,1.0,11,2,6,2,0,2,1
1,1,1,0.75,6,0,9,1,0,0,0
1,1,2,0.75,17,2,25,0,0,2,2
1,1,1,0.75,14,2,27,1,0,2,0
1,1,1,0.75,10,0,15,3,0,0,0
1,1,2,0.5,16,1,23,1,0,1,1
1,1,2,0.25,44,0,12,0,0,0,0
1,1,2,0.75,10,2,27,1,0,2,1
1,1,1,0.75,9,3,23,0,0,3,1
1,1,2,0.5,19,1,18,1,0,1,0
1,1,1,1.0,6,2,8,1,0,2,2
1,1,2,1.0,5,2,3,1,0,2,0
1,1,2,0.75,13,1,18,1,0,1,1
1,1,1,0.5,26,2,17,0,0,2,1
1,1,1,1.0,3,2,7,1,0,2,2
1,1,2,0.75,8,2,23,1,0,2,1
1,1,2,1.0,6,0,6,3,0,0,0
1,1,2,0.75,13,2,24,0,0,2,1
1,1,2,1.0,9,0,9,3,0,0,0
1,1,1,0.5,17,0,20,1,0,0,0
1,1,2,0.75,13,1,10,1,0,1,0
1,1,2,0.5,21,0,27,2,0,0,0
1,1,2,0.25,25,0,25,1,0,0,0
1,1,1,0.5,26,2,23,0,0,2,2
1,1,2,0.75,11,1,25,0,0,1,1
1,1,1,0.5,14,1,25,0,0,1,1
1,1,2,0.75,16,1,18,1,0,1,0
1,1,1,0.5,41,1,17,1,0,1,0
1,1,1,0.25,35,0,19,0,0,0,0
1,1,2,1.0,6,0,6,3,0,0,0
1,1,1,0.75,2,1,30,1,0,1,0
1,1,2,0.75,16,3,14,1,1,2,1
1,1,2,0.5,28,2,17,0,0,2,1
1,1,2,0.5,27,0,19,0,0,0,0
1,1,1,0.75,17,2,23,1,0,2,1
1,1,2,0.75,20,1,23,1,0,1,0
1,1,1,0.5,15,0,22,1,0,0,0
1,1,2,1.0,4,2,7,2,0,2,1
1,1,1,0.5,23,0,22,1,0,0,0
1,1,1,0.5,27,2,14,0,0,2,1
1,1,2,0.75,19,1,19,0,0,1,0
1,1,2,0.75,15,2,23,0,0,2,0
1,1,1,0.75,8,1,28,1,0,1,1
1,1,1,0.25,43,0,11,1,0,0,0
1,1,1,1.0,14,2,15,2,0,2,1
1,1,1,1.0,3,1,2,2,0,1,1
1,1,2,0.25,20,0,18,1,0,0,0
1,1,1,1.0,7,1,1,2,0,1,0
1,1,2,0.5,22,1,17,1,0,1,1
1,1,1,0.5,38,0,20,0,0,0,0
1,1,1,1.0,7,1,3,3,0,1,0
1,1,2,0.75,12,2,27,1,0,2,0
1,1,1,0.75,30,2,19,1,0,2,1
1,1,1,1.0,4,3,6,1,0,3,1
1,1,1,0.75,9,3,27,0,0,3,2
1,1,1,0.25,17,1,14,0,0,1,1
1,1,2,0.75,28,1,11,2,0,1,0
1,1,2,0.5,14,1,22,0,0,1,1
1,1,2,0.75,28,2,21,0,0,2,1
1,1,2,0.25,39,0,15,0,0,0,0
1,1,1,0.75,9,1,21,1,0,1,1
1,1,1,0.5,25,0,20,2,0,0,0
1,1,1,1.0,10,0,12,3,0,0,0
1,1,1,0.5,38,1,16,0,0,1,0
1,1,2,0.5,4,0,21,2,0,0,0
1,1,1,0.75,13,0,26,2,0,0,0
1,1,2,1.0,10,1,7,1,0,1,1
1,1,2,0.5,19,0,18,1,0,0,0
1,1,2,0.75,11,0,19,3,0,0,0
1,1,2,0.75,18,0,14,2,0,0,0
1,1,2,0.5,14,2,21,0,0,2,1
1,1,1,0.75,27,0,22,3,0,0,0
1,1,1,0.5,21,2,21,0,0,2,0
1,1,1,1.0,5,0,10,3,0,0,0
1,1,2,1.0,33,3,4,2,1,2,2
1,1,2,0.25,22,0,20,0,0,0,0
1,1,1,0.5,28,1,19,1,0,1,0
1,1,2,0.5,13,2,26,0,0,2,2
1,1,1,1.0,7,2,4,2,0,2,1
1,1,1,0.75,10,1,28,2,0,1,0
1,1,1,0.5,23,1,20,1,0,1,1
1,1,1,0.75,33,1,19,1,0,1,0
1,1,2,0.75,14,1,33,1,0,1,0
1,1,1,0.25,43,1,14,0,0,1,0
1,2,2,1.0,5,1,13,2,0,1,3
1,2,1,0.5,17,2,20,0,0,2,1
1,2,2,0.5,12,0,19,2,0,0,0
1,2,2,1.0,18,0,7,3,0,0,0
1,2,1,0.75,32,1,12,1,0,1,2
1,2,1,0.5,30,2,19,0,0,2,2
1,2,2,0.5,11,2,24,0,0,2,1
1,2,1,1.0,11,0,12,3,0,0,0
1,2,1,0.75,35,2,12,1,0,2,1
1,2,1,0.75,6,1,28,1,0,1,0
1,2,2,0.75,12,1,14,1,0,1,1
1,2,1,0.75,31,1,21,1,0,1,0
1,2,1,0.75,5,2,24,0,0,2,2
1,2,1,0.5,16,0,20,1,0,0,0
1,2,1,0.5,25,1,18,0,0,1,0
1,2,1,1.0,10,2,19,2,0,2,1
1,2,2,0.75,36,1,16,1,0,1,0
1,2,2,0.75,21,1,9,2,1,0,0
1,2,2,0.75,19,1,19,1,0,1,0
1,2,2,0.5,38,0,16,2,0,0,0
1,2,2,0.75,14,0,22,2,0,0,0
1,2,2,1.0,8,3,3,2,1,2,1
1,2,2,1.0,0,1,9,1,0,1,1
1,2,2,0.25,12,0,24,0,0,0,1
1,2,2,0.75,4,2,26,1,0,2,1
1,2,1,0.5,32,0,16,2,0,0,0
1,2,1,0.75,32,2,17,0,0,2,1
1,2,1,1.0,1,2,4,1,0,2,0
1,2,2,0.5,24,1,16,0,1,0,1
1,2,2,0.75,9,2,20,1,0,2,1
1,2,1,0.75,16,1,17,2,0,1,3
1,2,1,0.75,35,2,11,1,0,2,0
1,2,1,0.75,5,2,27,1,0,2,2
1,2,2,1.0,10,1,8,1,0,1,1
1,2,1,0.5,13,1,27,0,0,1,3
1,2,1,0.75,2,0,26,2,0,0,0
1,2,2,0.75,8,1,20,1,0,1,1
1,2,2,0.75,25,1,15,1,0,1,0
1,2,1,1.0,11,2,4,1,0,2,1
1,2,1,0.5,21,1,12,1,0,1,0
1,2,1,1.0,4,0,13,2,0,0,0
1,2,2,0.75,13,0,13,2,0,0,1
1,2,2,1.0,0,1,2,1,0,1,2
1,2,2,0.75,21,0,19,3,0,0,2
1,2,1,0.75,7,0,23,2,0,0,1
1,2,2,0.5,16,1,21,0,0,1,2
1,2,1,0.25,14,1,26,0,0,1,2
1,2,2,0.75,24,2,19,0,0,2,2
1,2,2,0.5,21,1,19,0,0,1,1
1,2,1,0.5,31,1,22,0,0,1,0
1,2,1,0.0,21,0,18,0,0,0,1
1,2,1,1.0,3,2,8,2,0,2,2
1,2,1,0.75,9,0,28,2,0,0,0
1,2,2,0.75,23,0,18,1,0,0,0
1,2,1,0.75,29,0,17,3,0,0,1
1,2,1,0.75,18,1,19,2,0,1,2
1,2,2,1.0,30,2,12,1,0,2,3
1,2,2,0.75,22,1,22,1,0,1,1
1,2,1,0.5,38,1,10,1,0,1,0
1,2,1,0.75,8,0,26,1,0,0,0
1,2,2,0.75,29,1,24,0,0,1,1
1,2,1,0.75,18,2,27,1,0,2,3
1,2,1,0.75,4,0,24,1,0,0,0
1,2,2,0.5,31,1,13,2,1,0,0
1,2,1,1.0,1,1,2,3,0,1,0
1,2,2,0.5,43,1,17,0,0,1,2
1,2,2,0.5,15,1,13,1,0,1,0
1,2,2,0.75,8,1,23,1,0,1,2
1,2,2,0.5,25,1,15,0,0,1,1
1,2,1,0.75,7,1,17,2,0,1,1
1,2,2,0.75,14,1,21,1,0,1,0
1,2,2,1.0,6,2,11,2,0,2,1
1,2,1,0.75,22,1,19,1,0,1,1
1,2,1,0.5,14,2,13,0,0,2,0
1,2,2,0.75,15,1,16,2,0,1,1
1,2,2,0.75,8,2,26,0,0,2,1
1,2,2,0.5,23,2,20,1,1,1,2
