Simulation Run,Day,Round,Agent Type,Satisfaction
1,1,0,1,0.11979166666666667
1,1,0,2,0.17708333333333334
1,1,1,1,0.13541666666666666
1,1,1,2,0.203125
1,1,2,1,0.15104166666666666
1,1,2,2,0.22916666666666666
1,1,3,1,0.171875
1,1,3,2,0.25
1,1,4,1,0.17708333333333334
1,1,4,2,0.2552083333333333
1,1,5,1,0.203125
1,1,5,2,0.28125
1,1,6,1,0.20833333333333334
1,1,6,2,0.2864583333333333
1,1,7,1,0.22395833333333334
1,1,7,2,0.3020833333333333
1,1,8,1,0.24479166666666666
1,1,8,2,0.3125
1,1,9,1,0.265625
1,1,9,2,0.34375
1,1,10,1,0.28125
1,1,10,2,0.3489583333333333
1,1,11,1,0.2916666666666667
1,1,11,2,0.3489583333333333
1,1,12,1,0.328125
1,1,12,2,0.3541666666666667
1,1,13,1,0.3385416666666667
1,1,13,2,0.3645833333333333
1,1,14,1,0.3645833333333333
1,1,14,2,0.3802083333333333
1,1,15,1,0.3697916666666667
1,1,15,2,0.3958333333333333
1,1,16,1,0.390625
1,1,16,2,0.4166666666666667
1,1,17,1,0.390625
1,1,17,2,0.4166666666666667
1,1,18,1,0.4114583333333333
1,1,18,2,0.4427083333333333
1,1,19,1,0.4375
1,1,19,2,0.4583333333333333
1,1,20,1,0.4427083333333333
1,1,20,2,0.4739583333333333
1,1,21,1,0.4583333333333333
1,1,21,2,0.4895833333333333
1,1,22,1,0.4635416666666667
1,1,22,2,0.5052083333333334
1,1,23,1,0.4791666666666667
1,1,23,2,0.5104166666666666
1,1,24,1,0.484375
1,1,24,2,0.5260416666666666
1,1,25,1,0.4947916666666667
1,1,25,2,0.5260416666666666
1,1,26,1,0.5052083333333334
1,1,26,2,0.5364583333333334
1,1,27,1,0.515625
1,1,27,2,0.546875
1,1,28,1,0.5208333333333334
1,1,28,2,0.5625
1,1,29,1,0.53125
1,1,29,2,0.5729166666666666
1,1,30,1,0.53125
1,1,30,2,0.5729166666666666
1,1,31,1,0.546875
1,1,31,2,0.578125
1,1,32,1,0.5520833333333334
1,1,32,2,0.5833333333333334
1,1,33,1,0.5520833333333334
1,1,33,2,0.5833333333333334
1,1,34,1,0.5520833333333334
1,1,34,2,0.5833333333333334
1,1,35,1,0.5729166666666666
1,1,35,2,0.5833333333333334
1,1,36,1,0.578125
1,1,36,2,0.5885416666666666
1,1,37,1,0.578125
1,1,37,2,0.5885416666666666
1,1,38,1,0.5833333333333334
1,1,38,2,0.59375
1,1,39,1,0.5833333333333334
1,1,39,2,0.59375
1,1,40,1,0.6145833333333334
1,1,40,2,0.6041666666666666
1,1,41,1,0.6197916666666666
1,1,41,2,0.609375
1,1,42,1,0.6197916666666666
1,1,42,2,0.609375
1,1,43,1,0.640625
1,1,43,2,0.6197916666666666
1,1,44,1,0.640625
1,1,44,2,0.6197916666666666
1,1,45,1,0.6614583333333334
1,1,45,2,0.6302083333333334
1,1,46,1,0.6614583333333334
1,1,46,2,0.6302083333333334
